Смирнов;2002-12-06;ИнЗем;3
Васильев;2002-08-22;Имикн;1
Петров;2005-10-28;ИнЗем;1
Васильев;2003-01-27;Имикн;1
Смирнов;2004-10-18;Фэи;1
Иванов;2002-03-09;Ифк;1
Соколов;2006-10-19;ИФиЖ;3
Попов;2005-05-07;Ифк;3
Кузнецов;2002-10-09;Фэи;5
Иванов;2001-12-08;Ифк;1
Попов;2004-02-12;Фэи;4
Попов;2002-11-17;ИФиЖ;6
Соколов;2000-11-24;Ифк;5
Попов;2004-07-03;Ифк;6
Петров;2006-03-12;ИнЗем;6
Смирнов;2006-05-01;Имикн;2
Соколов;2001-04-14;Фэи;3
Петров;2002-05-21;Имикн;2
Иванов;2001-01-10;Ифк;2
Васильев;2001-11-17;Имикн;5
Соколов;2004-02-15;Имикн;3
Соколов;2000-02-22;Имикн;5
Петров;2006-06-24;ИФиЖ;2
Смирнов;2006-12-01;Фэи;1
Попов;2000-05-09;Ифк;5
Кузнецов;2000-02-28;Фэи;4
Иванов;2001-05-22;Ифк;2
Васильев;2002-11-21;ИФиЖ;2
Смирнов;2001-12-16;ИнЗем;3
Петров;2002-08-09;ИнЗем;2
Васильев;2000-09-19;ИнЗем;5
Соколов;2004-05-04;ИнЗем;3
Попов;2004-08-01;ИФиЖ;1
Попов;2002-11-07;ИнЗем;6
Соколов;2005-10-23;ИФиЖ;2
Васильев;2004-02-21;Имикн;3
Васильев;2006-09-05;ИФиЖ;2
Петров;2004-03-09;Имикн;3
Васильев;2001-02-13;ИнЗем;3
Смирнов;2006-06-15;Имикн;4
Соколов;2006-06-23;ИФиЖ;6
Кузнецов;2003-09-18;ИнЗем;2
Михайлов;2006-01-12;Ифк;4
Соколов;2000-12-24;ИнЗем;6
Попов;2005-11-24;ИнЗем;1
Васильев;2003-11-05;Имикн;4
Соколов;2005-07-25;ИнЗем;5
Иванов;2002-02-27;Фэи;3
Иванов;2003-07-24;Фэи;3
Михайлов;2004-06-15;Имикн;1
Петров;2001-06-07;ИФиЖ;4
Васильев;2002-05-22;Ифк;5
Кузнецов;2000-01-15;Фэи;1
Петров;2003-07-23;Фэи;2
Михайлов;2002-07-03;ИФиЖ;5
Иванов;2006-06-28;Фэи;1
Соколов;2000-11-26;Ифк;6
Михайлов;2002-07-11;Ифк;1
Иванов;2003-02-11;Имикн;1
Попов;2001-11-10;Ифк;1
Петров;2003-01-20;Фэи;4
Иванов;2000-10-23;Ифк;3
Иванов;2003-06-18;ИФиЖ;2
Петров;2006-10-23;ИнЗем;5
Михайлов;2002-05-02;Фэи;5
Попов;2005-12-05;ИФиЖ;6
Попов;2006-11-27;ИнЗем;5
Иванов;2002-10-22;ИнЗем;3
Петров;2002-02-20;Фэи;6
Васильев;2000-06-24;Фэи;3
Михайлов;2001-04-21;ИФиЖ;2
Михайлов;2006-02-28;ИнЗем;6
Петров;2001-05-01;ИФиЖ;2
Иванов;2004-09-01;ИФиЖ;2
Кузнецов;2000-05-23;ИФиЖ;5
Михайлов;2001-06-13;Фэи;5
Петров;2002-01-25;Имикн;1
Попов;2003-08-03;Фэи;2
Петров;2002-03-19;Фэи;4
Кузнецов;2003-10-13;ИнЗем;1
Михайлов;2005-07-06;Фэи;6
Васильев;2001-07-11;ИнЗем;1
Соколов;2002-01-01;Фэи;5
Попов;2006-05-01;Фэи;4
Иванов;2004-05-04;Ифк;1
Иванов;2001-11-24;Ифк;3
Петров;2005-11-10;ИФиЖ;4
Попов;2002-05-09;Имикн;1
Кузнецов;2001-05-20;Ифк;2
Попов;2003-06-10;Ифк;3
Иванов;2005-09-24;Имикн;5
Кузнецов;2001-06-02;Фэи;3
Михайлов;2004-12-02;Ифк;6
Кузнецов;2000-11-05;Фэи;1
Смирнов;2000-11-24;Ифк;4
Иванов;2004-12-14;ИнЗем;1
Попов;2001-02-26;Имикн;4
Васильев;2004-07-11;ИФиЖ;6
Попов;2003-01-22;ИФиЖ;5
Смирнов;2005-01-21;ИФиЖ;3
Петров;2004-07-04;Ифк;2
Попов;2006-02-26;Имикн;5
Михайлов;2000-11-04;Ифк;4
Петров;2000-01-12;Ифк;1
Иванов;2002-05-27;Имикн;3
Кузнецов;2004-07-06;ИФиЖ;1
Смирнов;2006-01-19;Фэи;6
Кузнецов;2005-03-22;Имикн;4
Кузнецов;2000-05-04;ИнЗем;4
Соколов;2005-07-08;ИнЗем;6
Иванов;2000-06-01;ИФиЖ;5
Соколов;2006-01-28;ИнЗем;2
Попов;2006-04-13;Ифк;5
Попов;2005-11-20;Ифк;1
Смирнов;2004-08-02;Фэи;1
Петров;2001-01-04;Ифк;3
Кузнецов;2002-08-25;Фэи;1
Михайлов;2000-10-24;Фэи;1
Кузнецов;2005-06-20;Ифк;3
Иванов;2006-01-22;ИФиЖ;5
Соколов;2001-03-05;ИФиЖ;1
Михайлов;2001-08-12;Фэи;3
Попов;2001-02-12;ИнЗем;4
Васильев;2003-10-05;Имикн;1
Попов;2000-10-14;Ифк;5
Михайлов;2001-04-15;Фэи;1
Соколов;2003-01-12;ИнЗем;1
Михайлов;2001-05-05;Ифк;2
Петров;2006-03-26;ИФиЖ;2
Смирнов;2001-03-01;ИФиЖ;3
Соколов;2001-05-12;Ифк;4
Попов;2004-11-25;ИнЗем;6
Кузнецов;2004-06-25;ИФиЖ;2
Михайлов;2005-09-25;Ифк;4
Васильев;2001-06-23;Ифк;6
Смирнов;2000-01-02;Ифк;4
Смирнов;2000-03-11;Имикн;4
Попов;2005-09-09;Фэи;5
Соколов;2006-11-25;Имикн;5
Петров;2002-11-27;Ифк;5
Кузнецов;2001-03-07;Имикн;1
Иванов;2005-04-09;Ифк;2
Попов;2003-02-19;Ифк;4
Петров;2000-09-13;ИнЗем;1
Васильев;2000-04-23;ИнЗем;3
Смирнов;2005-04-01;ИФиЖ;3
Иванов;2002-09-18;Ифк;1
Кузнецов;2006-10-15;Фэи;6
Смирнов;2005-01-18;Имикн;1
Соколов;2004-09-23;Имикн;3
Иванов;2002-09-16;ИнЗем;4
Васильев;2006-04-15;Ифк;3
Смирнов;2006-07-19;ИФиЖ;3
Васильев;2002-06-14;ИФиЖ;5
Кузнецов;2004-04-11;Ифк;3
Васильев;2002-07-10;ИФиЖ;2
Петров;2005-01-19;Ифк;2
Михайлов;2005-05-13;Имикн;5
Михайлов;2005-09-10;ИФиЖ;4
Михайлов;2005-05-03;Фэи;4
Попов;2001-02-25;ИнЗем;2
Иванов;2000-11-23;ИнЗем;2
Михайлов;2001-11-08;ИнЗем;6
Соколов;2001-03-25;ИнЗем;3
Смирнов;2000-11-12;ИФиЖ;2
Иванов;2006-10-02;Ифк;2
Михайлов;2005-11-02;ИФиЖ;6
Кузнецов;2001-11-07;Фэи;2
Михайлов;2005-06-23;Фэи;1
Попов;2003-09-19;Имикн;2
Петров;2003-08-15;ИнЗем;4
Смирнов;2003-05-12;Фэи;3
Кузнецов;2004-11-22;Ифк;1
Михайлов;2006-10-20;Фэи;5
Иванов;2004-05-23;ИнЗем;6
Смирнов;2000-08-06;ИнЗем;6
Попов;2000-04-28;Имикн;1
Смирнов;2005-10-22;Ифк;6
Соколов;2000-01-10;ИнЗем;3
Васильев;2005-12-12;Ифк;2
Соколов;2006-06-08;ИФиЖ;6
Смирнов;2005-06-25;Фэи;2
Соколов;2005-01-01;Ифк;3
Смирнов;2002-05-24;Ифк;5
Васильев;2005-06-21;ИнЗем;6
Васильев;2005-11-16;Ифк;6
Попов;2004-08-18;ИФиЖ;6
Петров;2001-04-18;ИФиЖ;1
Соколов;2005-09-08;ИнЗем;5
Иванов;2005-06-14;Имикн;1
Кузнецов;2002-09-22;Имикн;4
Михайлов;2000-10-09;ИнЗем;1
Попов;2000-07-05;ИнЗем;1
Петров;2003-10-14;ИнЗем;2
Соколов;2001-11-23;ИнЗем;6
Петров;2001-03-16;Ифк;2
Иванов;2000-02-21;ИнЗем;5
Соколов;2000-10-10;Имикн;1
Соколов;2001-09-12;Фэи;2
Кузнецов;2004-12-14;ИнЗем;6
Петров;2006-07-10;Ифк;3
Васильев;2004-06-26;ИнЗем;1
Соколов;2001-01-07;ИнЗем;4
Петров;2000-10-09;ИФиЖ;3
Иванов;2004-01-13;Фэи;3
Кузнецов;2002-12-26;Имикн;4
Соколов;2004-03-03;Имикн;4
Петров;2000-02-06;ИФиЖ;4
Петров;2000-10-11;Имикн;6
Кузнецов;2003-03-01;Имикн;3
Соколов;2004-04-12;Ифк;6
Кузнецов;2004-05-07;ИФиЖ;1
Попов;2006-10-08;ИнЗем;6
Смирнов;2002-04-06;Фэи;5
Попов;2006-01-06;Фэи;2
Попов;2006-02-14;ИнЗем;6
Соколов;2006-11-21;Ифк;2
Кузнецов;2000-08-16;Фэи;3
Петров;2000-04-05;Ифк;1
Петров;2002-02-25;ИнЗем;6
Смирнов;2006-04-05;Имикн;3
Кузнецов;2005-10-09;Имикн;2
Петров;2006-10-22;Имикн;2
Смирнов;2000-09-21;ИФиЖ;5
Иванов;2000-01-28;Имикн;5
Петров;2006-04-14;Фэи;5
Петров;2006-12-06;ИнЗем;6
Васильев;2000-07-20;ИФиЖ;3
Кузнецов;2004-05-05;ИнЗем;6
Петров;2004-12-01;ИнЗем;1
Соколов;2001-03-13;ИнЗем;6
Смирнов;2002-03-21;Имикн;6
Васильев;2002-12-05;Имикн;5
Соколов;2005-01-05;ИнЗем;3
Попов;2003-07-10;Имикн;6
Михайлов;2003-06-06;ИнЗем;2
Иванов;2005-05-07;Ифк;2
Васильев;2003-04-26;ИФиЖ;6
Соколов;2006-04-12;Имикн;4
Васильев;2005-11-15;Имикн;6
Смирнов;2001-04-27;Ифк;3
Иванов;2002-04-04;Ифк;3
Кузнецов;2004-03-12;Ифк;2
Михайлов;2003-09-03;Фэи;1
Смирнов;2006-07-11;Фэи;5
Михайлов;2004-02-11;Имикн;5
Соколов;2001-10-26;ИФиЖ;3
Кузнецов;2006-01-19;ИФиЖ;6
Петров;2003-04-24;Ифк;6
Попов;2006-07-11;Имикн;5
Михайлов;2005-11-07;Фэи;5
Соколов;2002-12-11;Имикн;2
Смирнов;2001-02-10;ИнЗем;6
Иванов;2001-06-24;ИнЗем;5
Кузнецов;2003-03-10;ИнЗем;5
Соколов;2004-02-27;Фэи;5
Смирнов;2003-02-17;Имикн;1
Смирнов;2002-01-16;Имикн;1
Попов;2004-10-13;Ифк;5
Попов;2004-10-22;ИФиЖ;3
Попов;2001-08-11;Имикн;5
Кузнецов;2000-02-27;Имикн;2
Иванов;2003-08-05;ИнЗем;1
Васильев;2001-03-13;ИнЗем;2
Михайлов;2003-04-21;ИФиЖ;1
Иванов;2002-12-11;ИФиЖ;5
Кузнецов;2003-12-19;Ифк;4
Кузнецов;2002-11-26;Ифк;1
Михайлов;2006-04-13;Имикн;1
Попов;2003-12-26;Фэи;6
Иванов;2003-03-24;ИФиЖ;1
Михайлов;2001-05-27;Ифк;4
Соколов;2001-05-22;Имикн;3
Кузнецов;2002-12-15;Ифк;6
Соколов;2005-03-05;Фэи;4
Петров;2005-09-24;Ифк;2
Васильев;2000-12-07;ИнЗем;2
Иванов;2006-01-18;ИнЗем;3
Васильев;2004-02-27;Ифк;3
Попов;2003-02-09;Имикн;4
Михайлов;2006-04-28;Имикн;1
Соколов;2002-08-21;Имикн;6
Иванов;2003-10-28;Имикн;3
Попов;2001-04-22;Ифк;1
Соколов;2004-06-04;Ифк;5
Кузнецов;2002-10-11;Ифк;3
Петров;2001-09-13;ИнЗем;5
Михайлов;2000-01-01;ИФиЖ;4
Соколов;2000-03-06;Фэи;5
Кузнецов;2001-03-08;ИФиЖ;2
Соколов;2000-11-27;Фэи;1
Петров;2004-04-14;Ифк;3
Иванов;2003-06-19;ИнЗем;1
Соколов;2002-02-24;ИнЗем;3
Соколов;2003-05-24;Ифк;4
Смирнов;2006-11-24;Имикн;6
Кузнецов;2006-01-11;ИнЗем;3
Петров;2004-10-08;Фэи;6
Попов;2000-07-27;ИнЗем;2
Соколов;2004-07-22;ИнЗем;5
Кузнецов;2003-02-21;Имикн;2
Васильев;2004-08-21;ИФиЖ;1
Кузнецов;2005-10-07;Имикн;3
Соколов;2005-07-14;ИнЗем;5
Михайлов;2005-03-11;Фэи;4
Иванов;2002-12-20;Имикн;3
Соколов;2000-09-20;ИнЗем;3
Кузнецов;2004-04-19;Фэи;5
Кузнецов;2006-05-09;Фэи;1
Попов;2005-09-21;Фэи;5
Иванов;2005-01-14;ИнЗем;6
Соколов;2006-06-26;ИнЗем;4
Васильев;2004-07-03;Фэи;1
Соколов;2002-05-21;Ифк;2
Попов;2003-12-24;ИФиЖ;1
Соколов;2003-06-18;Ифк;1
Иванов;2002-11-07;Имикн;3
Васильев;2000-07-21;Фэи;3
Соколов;2001-07-22;ИФиЖ;2
Васильев;2005-06-27;ИнЗем;1
Попов;2004-08-03;ИнЗем;1
