Институт: Фэи
| № |    Фамилия |    Cредний балл |    Возраст |
-------------------------------------------------
| 1 |      Попов |               6 |         22 |
| 2 |     Петров |               6 |         22 |
| 3 |     Иванов |               6 |         22 |
| 4 |   Васильев |               6 |         22 |
| 5 |   Васильев |               6 |         22 |
| 6 |    Соколов |               5 |         22 |
| 7 |    Соколов |               5 |         22 |
| 8 |      Попов |               5 |         22 |
| 9 |    Соколов |               5 |         22 |
|10 |     Иванов |               5 |         22 |
|11 |   Васильев |               5 |         22 |
|12 |   Васильев |               5 |         22 |
|13 |    Соколов |               5 |         22 |
|14 |    Смирнов |               5 |         22 |
|15 |      Попов |               5 |         22 |
|16 |   Васильев |               5 |         22 |
|17 |   Кузнецов |               5 |         22 |
|18 |    Смирнов |               5 |         22 |
|19 |   Кузнецов |               4 |         22 |
|20 |      Попов |               4 |         22 |
|21 |     Петров |               4 |         22 |
|22 |    Смирнов |               4 |         22 |
|23 |     Петров |               4 |         22 |
|24 |     Иванов |               4 |         22 |
|25 |      Попов |               4 |         22 |
|26 |     Петров |               4 |         22 |
|27 |     Петров |               4 |         22 |
|28 |     Иванов |               3 |         22 |
|29 |    Смирнов |               3 |         22 |
|30 |    Соколов |               3 |         22 |
|31 |    Смирнов |               3 |         22 |
|32 |     Иванов |               3 |         22 |
|33 |    Смирнов |               3 |         22 |
|34 |      Попов |               3 |         22 |
|35 |   Кузнецов |               3 |         22 |
|36 |      Попов |               3 |         22 |
|37 |   Васильев |               3 |         22 |
|38 |      Попов |               2 |         22 |
|39 |   Кузнецов |               2 |         22 |
|40 |    Соколов |               2 |         22 |
|41 |   Михайлов |               2 |         22 |
|42 |   Михайлов |               2 |         22 |
|43 |   Кузнецов |               1 |         22 |
|44 |      Попов |               1 |         22 |
|45 |   Михайлов |               1 |         22 |
|46 |    Смирнов |               1 |         22 |
|47 |     Петров |               1 |         22 |
|48 |    Соколов |               1 |         22 |
|49 |     Иванов |               1 |         22 |
|50 |    Смирнов |               1 |         22 |
|51 |   Михайлов |               6 |         21 |
|52 |    Смирнов |               6 |         21 |
|53 |      Попов |               6 |         21 |
|54 |    Смирнов |               6 |         21 |
|55 |     Петров |               6 |         21 |
|56 |   Кузнецов |               6 |         21 |
|57 |    Соколов |               6 |         21 |
|58 |   Васильев |               6 |         21 |
|59 |      Попов |               6 |         21 |
|60 |     Петров |               6 |         21 |
|61 |    Смирнов |               6 |         21 |
|62 |    Смирнов |               6 |         21 |
|63 |   Михайлов |               6 |         21 |
|64 |      Попов |               6 |         21 |
|65 |     Петров |               6 |         21 |
|66 |     Петров |               6 |         21 |
|67 |   Михайлов |               6 |         21 |
|68 |     Иванов |               6 |         21 |
|69 |   Кузнецов |               6 |         21 |
|70 |    Смирнов |               6 |         21 |
|71 |    Соколов |               6 |         21 |
|72 |     Иванов |               6 |         21 |
|73 |      Попов |               6 |         21 |
|74 |    Соколов |               6 |         21 |
|75 |   Михайлов |               6 |         21 |
|76 |    Смирнов |               6 |         21 |
|77 |    Смирнов |               5 |         21 |
|78 |   Кузнецов |               5 |         21 |
|79 |    Соколов |               5 |         21 |
|80 |    Соколов |               5 |         21 |
|81 |      Попов |               5 |         21 |
|82 |   Михайлов |               5 |         21 |
|83 |      Попов |               5 |         21 |
|84 |    Смирнов |               5 |         21 |
|85 |   Кузнецов |               5 |         21 |
|86 |   Кузнецов |               5 |         21 |
|87 |   Кузнецов |               5 |         21 |
|88 |      Попов |               5 |         21 |
|89 |     Иванов |               5 |         21 |
|90 |   Васильев |               5 |         21 |
|91 |    Смирнов |               5 |         21 |
|92 |    Соколов |               5 |         21 |
|93 |    Смирнов |               5 |         21 |
|94 |   Михайлов |               5 |         21 |
|95 |     Петров |               5 |         21 |
|96 |    Смирнов |               5 |         21 |
|97 |    Соколов |               5 |         21 |
|98 |   Михайлов |               5 |         21 |
|99 |     Иванов |               5 |         21 |
|100 |     Петров |               5 |         21 |
|101 |     Петров |               5 |         21 |
|102 |      Попов |               5 |         21 |
|103 |   Васильев |               4 |         21 |
|104 |      Попов |               4 |         21 |
|105 |      Попов |               4 |         21 |
|106 |   Кузнецов |               4 |         21 |
|107 |     Иванов |               4 |         21 |
|108 |    Соколов |               4 |         21 |
|109 |     Иванов |               4 |         21 |
|110 |    Соколов |               4 |         21 |
|111 |   Кузнецов |               4 |         21 |
|112 |    Смирнов |               4 |         21 |
|113 |   Кузнецов |               4 |         21 |
|114 |   Михайлов |               4 |         21 |
|115 |   Васильев |               4 |         21 |
|116 |      Попов |               4 |         21 |
|117 |   Кузнецов |               4 |         21 |
|118 |      Попов |               4 |         21 |
|119 |    Смирнов |               4 |         21 |
|120 |      Попов |               4 |         21 |
|121 |      Попов |               4 |         21 |
|122 |     Петров |               4 |         21 |
|123 |    Смирнов |               4 |         21 |
|124 |    Соколов |               4 |         21 |
|125 |    Смирнов |               4 |         21 |
|126 |      Попов |               4 |         21 |
|127 |   Васильев |               4 |         21 |
|128 |    Соколов |               3 |         21 |
|129 |   Васильев |               3 |         21 |
|130 |   Кузнецов |               3 |         21 |
|131 |   Васильев |               3 |         21 |
|132 |   Михайлов |               3 |         21 |
|133 |    Соколов |               3 |         21 |
|134 |      Попов |               3 |         21 |
|135 |     Петров |               3 |         21 |
|136 |      Попов |               3 |         21 |
|137 |    Соколов |               3 |         21 |
|138 |      Попов |               3 |         21 |
|139 |    Соколов |               3 |         21 |
|140 |   Кузнецов |               3 |         21 |
|141 |     Иванов |               3 |         21 |
|142 |    Соколов |               3 |         21 |
|143 |      Попов |               3 |         21 |
|144 |     Иванов |               3 |         21 |
|145 |   Кузнецов |               3 |         21 |
|146 |      Попов |               3 |         21 |
|147 |     Петров |               3 |         21 |
|148 |     Иванов |               3 |         21 |
|149 |    Смирнов |               3 |         21 |
|150 |   Васильев |               3 |         21 |
|151 |      Попов |               3 |         21 |
|152 |      Попов |               3 |         21 |
|153 |     Петров |               2 |         21 |
|154 |      Попов |               2 |         21 |
|155 |   Васильев |               2 |         21 |
|156 |    Соколов |               2 |         21 |
|157 |   Михайлов |               2 |         21 |
|158 |   Кузнецов |               2 |         21 |
|159 |    Соколов |               2 |         21 |
|160 |     Иванов |               2 |         21 |
|161 |      Попов |               2 |         21 |
|162 |    Смирнов |               2 |         21 |
|163 |    Соколов |               2 |         21 |
|164 |   Кузнецов |               2 |         21 |
|165 |    Смирнов |               2 |         21 |
|166 |     Иванов |               2 |         21 |
|167 |      Попов |               2 |         21 |
|168 |    Смирнов |               2 |         21 |
|169 |   Кузнецов |               2 |         21 |
|170 |      Попов |               2 |         21 |
|171 |    Смирнов |               2 |         21 |
|172 |      Попов |               2 |         21 |
|173 |   Кузнецов |               1 |         21 |
|174 |   Михайлов |               1 |         21 |
|175 |   Михайлов |               1 |         21 |
|176 |    Соколов |               1 |         21 |
|177 |    Смирнов |               1 |         21 |
|178 |     Иванов |               1 |         21 |
|179 |   Михайлов |               1 |         21 |
|180 |   Васильев |               1 |         21 |
|181 |    Соколов |               1 |         21 |
|182 |   Кузнецов |               1 |         21 |
|183 |   Кузнецов |               1 |         21 |
|184 |   Кузнецов |               1 |         21 |
|185 |   Кузнецов |               1 |         21 |
|186 |     Петров |               1 |         21 |
|187 |   Кузнецов |               1 |         21 |
|188 |    Соколов |               1 |         21 |
|189 |     Петров |               1 |         21 |
|190 |    Смирнов |               1 |         21 |
|191 |   Михайлов |               1 |         21 |
|192 |    Смирнов |               1 |         21 |
|193 |     Петров |               6 |         20 |
|194 |   Васильев |               6 |         20 |
|195 |    Смирнов |               6 |         20 |
|196 |    Соколов |               6 |         20 |
|197 |     Иванов |               6 |         20 |
|198 |      Попов |               6 |         20 |
|199 |    Соколов |               6 |         20 |
|200 |   Кузнецов |               6 |         20 |
|201 |   Михайлов |               6 |         20 |
|202 |     Петров |               6 |         20 |
|203 |     Иванов |               6 |         20 |
|204 |   Михайлов |               6 |         20 |
|205 |    Смирнов |               6 |         20 |
|206 |   Михайлов |               5 |         20 |
|207 |   Михайлов |               5 |         20 |
|208 |    Соколов |               5 |         20 |
|209 |    Смирнов |               5 |         20 |
|210 |     Петров |               5 |         20 |
|211 |   Васильев |               5 |         20 |
|212 |    Соколов |               5 |         20 |
|213 |   Михайлов |               5 |         20 |
|214 |      Попов |               5 |         20 |
|215 |   Михайлов |               5 |         20 |
|216 |      Попов |               5 |         20 |
|217 |    Соколов |               5 |         20 |
|218 |     Иванов |               5 |         20 |
|219 |     Петров |               5 |         20 |
|220 |    Соколов |               5 |         20 |
|221 |   Михайлов |               5 |         20 |
|222 |   Михайлов |               5 |         20 |
|223 |     Иванов |               5 |         20 |
|224 |      Попов |               5 |         20 |
|225 |     Петров |               5 |         20 |
|226 |   Михайлов |               5 |         20 |
|227 |    Соколов |               5 |         20 |
|228 |    Соколов |               5 |         20 |
|229 |   Васильев |               5 |         20 |
|230 |     Иванов |               5 |         20 |
|231 |      Попов |               5 |         20 |
|232 |     Петров |               5 |         20 |
|233 |     Петров |               5 |         20 |
|234 |   Кузнецов |               5 |         20 |
|235 |    Смирнов |               5 |         20 |
|236 |   Васильев |               5 |         20 |
|237 |    Соколов |               5 |         20 |
|238 |     Петров |               5 |         20 |
|239 |    Соколов |               5 |         20 |
|240 |      Попов |               5 |         20 |
|241 |   Васильев |               5 |         20 |
|242 |     Петров |               5 |         20 |
|243 |   Кузнецов |               5 |         20 |
|244 |      Попов |               5 |         20 |
|245 |   Васильев |               5 |         20 |
|246 |     Петров |               4 |         20 |
|247 |    Смирнов |               4 |         20 |
|248 |   Михайлов |               4 |         20 |
|249 |    Смирнов |               4 |         20 |
|250 |   Михайлов |               4 |         20 |
|251 |    Соколов |               4 |         20 |
|252 |    Смирнов |               4 |         20 |
|253 |     Петров |               4 |         20 |
|254 |    Смирнов |               4 |         20 |
|255 |     Петров |               4 |         20 |
|256 |     Петров |               4 |         20 |
|257 |      Попов |               4 |         20 |
|258 |      Попов |               4 |         20 |
|259 |    Смирнов |               4 |         20 |
|260 |      Попов |               4 |         20 |
|261 |   Васильев |               4 |         20 |
|262 |    Смирнов |               4 |         20 |
|263 |      Попов |               4 |         20 |
|264 |     Иванов |               4 |         20 |
|265 |   Кузнецов |               4 |         20 |
|266 |   Кузнецов |               4 |         20 |
|267 |     Иванов |               3 |         20 |
|268 |   Кузнецов |               3 |         20 |
|269 |   Михайлов |               3 |         20 |
|270 |   Михайлов |               3 |         20 |
|271 |   Кузнецов |               3 |         20 |
|272 |    Соколов |               3 |         20 |
|273 |   Михайлов |               3 |         20 |
|274 |   Васильев |               3 |         20 |
|275 |   Михайлов |               3 |         20 |
|276 |     Петров |               3 |         20 |
|277 |   Васильев |               3 |         20 |
|278 |   Кузнецов |               3 |         20 |
|279 |    Смирнов |               3 |         20 |
|280 |    Смирнов |               3 |         20 |
|281 |   Васильев |               3 |         20 |
|282 |   Михайлов |               3 |         20 |
|283 |      Попов |               3 |         20 |
|284 |      Попов |               3 |         20 |
|285 |      Попов |               3 |         20 |
|286 |    Соколов |               3 |         20 |
|287 |   Михайлов |               3 |         20 |
|288 |      Попов |               3 |         20 |
|289 |    Соколов |               3 |         20 |
|290 |      Попов |               3 |         20 |
|291 |      Попов |               3 |         20 |
|292 |      Попов |               3 |         20 |
|293 |   Васильев |               3 |         20 |
|294 |    Смирнов |               3 |         20 |
|295 |     Иванов |               3 |         20 |
|296 |    Смирнов |               3 |         20 |
|297 |   Кузнецов |               2 |         20 |
|298 |    Соколов |               2 |         20 |
|299 |    Соколов |               2 |         20 |
|300 |      Попов |               2 |         20 |
|301 |     Петров |               2 |         20 |
|302 |   Кузнецов |               2 |         20 |
|303 |   Михайлов |               2 |         20 |
|304 |     Петров |               2 |         20 |
|305 |   Кузнецов |               2 |         20 |
|306 |    Смирнов |               2 |         20 |
|307 |   Михайлов |               2 |         20 |
|308 |    Соколов |               2 |         20 |
