Код	№ Паспорта	ФИО	Адрес	Размер ссуды, руб	Срок ссуды, мес	Цель ссуды	Среднемесячный доход, руб	Среднемесячный расход, руб	Основное направление расходов	Наличие недвижимости	Наличие автотранспорта	Наличие банковского счета	Наличие страховки	Название организации	Отраслевая принадлежность предприятия	Срок работы на данном предприятии, лет	Направление деятельности заемщика	Срок работы на данном направлении, лет	Пол	Семейное положение	Количество лет	Количество иждивенцев	Срок проживания в данной местности, лет	Обеспеченность займа	Давать кредит
1	0936-866096	1	1	10000	12	Покупка товара	4500	3000	Покупка товаров длит. пользования	Да	Да	Нет	Нет	1	Машиностроение и металлообработка	6	Реклама и маркетинг	8	Жен	Да	41	3	24	ИСТИНА	ИСТИНА
2	8355-512943	1	1	14000	12	Оплата за образование	8500	3000	Покупка и ремонт недвижимости	Да	Да	Нет	Нет	1	Химия, парфюмерия, фармацефтика	10	Адм.-хоз. и транспортная службы	12	Жен	Нет	26	0	20	ИСТИНА	ИСТИНА
3	8017-098471	1	1	25000	18	Оплата за образование	7000	4000	Затраты на образование (в т.ч. детей)	Да	Да	Нет	Нет	1	Информатика и телекоммуникации	8	Участие в основной деятельности	8	Жен	Да	32	3	13	ИСТИНА	ИСТИНА
4	2762-945535	1	1	64000	48	Покупка и ремонт недвижимости	7000	5000	Покупка товаров длит. пользования	Да	Да	Нет	Нет	1	Торговля розничная	9	Участие в основной деятельности	11	Муж	Нет	50	2	22	ИСТИНА	ИСТИНА
5	0459-997701	1	1	3500	6	Покупка товара	3000	1500	Содержание/аренда недвижимости, а/т	Нет	Да	Нет	Нет	1	Туризм	7	Участие в основной деятельности	8	Муж	Да	30	0	14	ИСТИНА	ЛОЖЬ
6	6291-817248	1	1	8500	6	Иное	7500	4000	Покупка товаров длит. пользования	Да	Нет	Нет	Нет	1	Сборочные производства	14	Участие в основной деятельности	15	Жен	Нет	63	1	31	ИСТИНА	ИСТИНА
7	0094-883508	1	1	2500	6	Оплата услуг (мед., юрид. и т.п.)	2500	2000	Выплаты по кредитам/займам	Нет	Нет	Нет	Нет	1	Химия, парфюмерия, фармацефтика	7	Адм.-хоз. и транспортная службы	8	Жен	Нет	21	0	8	ЛОЖЬ	ЛОЖЬ
8	6385-082612	1	1	27000	18	Иное	8000	4500	Одежда, продукты питания и т.п.	Нет	Да	Нет	Нет	1	Правоохранительные органы	3	Вспомогательный технический персонал	6	Муж	Да	24	0	15	ИСТИНА	ЛОЖЬ
9	9290-732392	1	1	16500	12	Покупка и ремонт недвижимости	7000	4000	Одежда, продукты питания и т.п.	Да	Да	Да	Нет	1	Увесилительный, игровой и шой-бизнес	4	Участие в основной деятельности	7	Муж	Да	50	3	25	ИСТИНА	ИСТИНА
10	7022-736193	1	1	6500	6	Покупка товара	5500	3000	Затраты на образование (в т.ч. детей)	Да	Да	Да	Нет	1	Увесилительный, игровой и шой-бизнес	3	Участие в основной деятельности	3	Жен	Нет	26	0	13	ИСТИНА	ИСТИНА
11	3127-709332	1	1	22500	12	Покупка товара	15500	8500	Покупка товаров длит. пользования	Да	Да	Нет	Нет	1	Легкая и пищевая промышленность	3	Кадровая служба и секритариат	5	Жен	Нет	29	1	15	ИСТИНА	ИСТИНА
12	4179-171975	1	1	25000	18	Покупка и ремонт недвижимости	7000	2500	Затраты на образование (в т.ч. детей)	Да	Да	Нет	Да	1	Правоохранительные органы	5	Вспомогательный технический персонал	7	Муж	Нет	28	1	9	ИСТИНА	ИСТИНА
13	6099-152158	1	1	39000	12	Покупка товара	16500	8500	Затраты на образование (в т.ч. детей)	Да	Нет	Нет	Нет	1	Ощественное питание	6	Участие в основной деятельности	8	Муж	Нет	19	0	9	ИСТИНА	ЛОЖЬ
14	3805-792726	1	1	16000	12	Покупка товара	7000	3000	Покупка товаров длит. пользования	Да	Нет	Да	Нет	1	Ощественное питание	11	Участие в основной деятельности	13	Жен	Да	41	2	19	ИСТИНА	ИСТИНА
15	1352-805924	1	1	10000	6	Оплата услуг (мед., юрид. и т.п.)	12500	7500	Покупка и ремонт недвижимости	Да	Нет	Да	Нет	1	Торговля розничная	2	Пр.-техн. обесп. и телекомуникации	5	Жен	Да	35	1	15	ИСТИНА	ИСТИНА
16	2289-869384	1	1	9500	6	Покупка и ремонт недвижимости	8000	4000	Турпоездки, развлечения и т.п.	Да	Да	Нет	Нет	1	Сельское хозяйство	3	Участие в основной деятельности	5	Жен	Да	20	1	4	ИСТИНА	ЛОЖЬ
17	2385-307290	1	1	49500	24	Оплата услуг (мед., юрид. и т.п.)	11000	4000	Содержание/аренда недвижимости, а/т	Нет	Да	Нет	Нет	1	Здравоохранение (гос.)	6	Снабжение и сбыт	8	Муж	Да	29	0	16	ИСТИНА	ЛОЖЬ
18	6504-055732	1	1	12500	6	Покупка и ремонт недвижимости	10500	8000	Оплата услуг (мед., юрид. и т.п.)	Да	Нет	Нет	Да	1	Финансы, банковское дело	5	Участие в основной деятельности	7	Жен	Да	66	3	28	ЛОЖЬ	ЛОЖЬ
19	9188-250702	1	1	22000	12	Покупка товара	13000	8000	Покупка и ремонт недвижимости	Да	Нет	Нет	Нет	1	Образование (гос.)	6	Участие в основной деятельности	9	Муж	Да	23	0	14	ИСТИНА	ИСТИНА
20	7212-360647	1	1	30500	12	Покупка товара	13000	8000	Выплаты по кредитам/займам	Нет	Нет	Нет	Нет	1	Машиностроение и металлообработка	5	Вспомогательный технический персонал	6	Муж	Да	57	3	30	ИСТИНА	ЛОЖЬ
